SITE_ID,COUNTS
131301,142
131874,142
13205,142
13241,142
16051,142
201205,142
201733,142
22635,142
300951,142
301338,142
305244,142
305691,142
400245,142
401088,142
401319,142
401645,142
43709,142
4560,142
501458,142
50508,142
50974,142
5331,142
601430,142
9002201,142
9007466,142
9007572,142
9010148,142
9011157,142
9013591,142
9016171,142
9017414,142
9017975,142
9017985,142
9018072,142
9018641,142
9018763,142
9018885,142
9018964,142
9019059,142
9019405,142
9019652,142
9020143,142
9020500,142
9020547,142
9021186,142
9022139,142
9023464,142
9892,142
10013885,141
130011,141
130564,141
198312,141
301962,141
403793,141
4254,141
51032,141
700684,141
9001734,141
9007282,141
9017453,141
10013336,140
130183,140
132164,140
15753,140
22776,140
25949,140
301941,140
303501,140
4062,140
4145,140
4332,140
460567,140
4983,140
49857,140
501881,140
501916,140
50693,140
51740,140
53222,140
53546,140
54110,140
54204,140
5489,140
55613,140
6277,140
9000913,140
9002106,140
9003555,140
9007782,140
9010547,140
9018196,140
9018592,140
9018789,140
9019057,140
9019066,140
9019128,140
9022365,140
9022603,140
9023315,140
9028258,140
131127,139
202618,139
203819,139
205998,139
403776,139
500988,139
50565,139
50919,139
55604,139
700387,139
9007546,139
9013408,139
9021795,139
10001606,138
10014105,138
12249,138
12551,138
12849,138
130010,138
130438,138
132360,138
133703,138
134958,138
135271,138
150794,138
198334,138
201061,138
24481,138
301864,138
301868,138
302276,138
305118,138
305762,138
35082,138
401137,138
402369,138
500445,138
501939,138
501995,138
50707,138
50774,138
50920,138
51084,138
51227,138
600598,138
601113,138
601479,138
601791,138
6881,138
9001976,138
9007447,138
9011073,138
9018284,138
9018394,138
9018609,138
9019411,138
9019473,138
9019587,138
9019720,138
9021142,138
9022903,138
9024823,138
9027233,138
9883,138
100234,137
101332,137
101607,137
11889,137
134833,137
135768,137
200980,137
201068,137
302718,137
33984,137
401359,137
402040,137
501162,137
54200,137
9009912,137
9018187,137
100041,136
10009627,136
10015627,136
130869,136
131293,136
131854,136
15984,136
198018,136
198348,136
201732,136
202827,136
203695,136
204677,136
204924,136
205888,136
302210,136
302367,136
304087,136
305387,136
3593,136
3710,136
400596,136
401298,136
401682,136
401803,136
403573,136
42651,136
501913,136
502043,136
51079,136
51771,136
5207,136
54223,136
601381,136
7956,136
9002509,136
9002901,136
9004352,136
9008479,136
9008603,136
9011457,136
9015875,136
9017670,136
9017725,136
9018283,136
9018728,136
9019703,136
9019786,136
9022064,136
9022918,136
9023031,136
9023774,136
9024820,136
9331,136
101467,135
101713,135
130647,135
14510,135
201260,135
201271,135
202308,135
202707,135
300848,135
301005,135
301850,135
302484,135
51030,135
53792,135
570447,135
9001372,135
9014485,135
10009439,134
101494,134
101980,134
101987,134
11113,134
12257,134
130551,134
13483,134
198010,134
203310,134
204972,134
302961,134
303086,134
303807,134
306007,134
400699,134
400875,134
400959,134
401292,134
402117,134
402283,134
4255,134
4499,134
502186,134
50557,134
50710,134
51076,134
51781,134
52708,134
54013,134
55304,134
601086,134
601164,134
601678,134
9002074,134
9009054,134
9009738,134
9010181,134
9010566,134
9017976,134
9018765,134
9019212,134
9019307,134
9021015,134
9022052,134
9022848,134
9023468,134
9024824,134
9026588,134
9026603,134
9026780,134
9026878,134
9566,134
10768,133
12122,133
13476,133
201390,133
203417,133
26193,133
300793,133
301833,133
301878,133
302854,133
38846,133
502001,133
50590,133
51097,133
51578,133
53542,133
8581,133
9000864,133
9002668,133
9009179,133
9024192,133
10000225,132
10000521,132
100812,132
101943,132
12696,132
130435,132
133370,132
13584,132
200535,132
202176,132
202328,132
202779,132
203021,132
204910,132
205477,132
23261,132
300693,132
301124,132
302511,132
304736,132
34626,132
36046,132
36748,132
4952,132
501857,132
50781,132
53556,132
602080,132
9001075,132
9001289,132
9007915,132
9011451,132
9011509,132
9014731,132
9015974,132
9017448,132
9017823,132
9018762,132
9018854,132
9019068,132
9019666,132
9022051,132
9022499,132
9023001,132
9023002,132
9023361,132
9026781,132
9026858,132
9026865,132
9027872,132
100024,131
130031,131
130968,131
150294,131
202497,131
204254,131
300912,131
300953,131
36962,131
42643,131
50962,131
51033,131
5268,131
9023650,131
10008145,130
10008539,130
10011180,130
101248,130
101832,130
1115,130
11737,130
12126,130
12671,130
131128,130
133067,130
13489,130
18497,130
202366,130
202576,130
204505,130
205340,130
205792,130
23065,130
23196,130
250089,130
302293,130
303199,130
303675,130
304295,130
38093,130
400928,130
401301,130
401501,130
402349,130
4152,130
4790,130
500728,130
502378,130
50555,130
50996,130
54735,130
601087,130
601391,130
9001367,130
9002144,130
9009082,130
9009849,130
9012813,130
9012817,130
9017152,130
9017652,130
9018769,130
9018943,130
9019643,130
9020139,130
9020325,130
